Risultati con threshold rmsd > 0.75
     bad_residues local_residues ratio manual affinity
1syi           14             21  0.67   Good      Yes
1syh           13             20  0.65    Bad        -
2ygf           12             23  0.52    Bad       No
1nje            8             16   0.5    Bad        -
1njc            7             15  0.47    Bad       No
1ydk           10             22  0.45  *Good      Yes
1nja            6             14  0.43    Bad       No
1k3l            8             21  0.38    Bad        -
2fr3           11             29  0.38   *Bad        -
1a4h            8             21  0.38    Bad        -
2yge            8             21  0.38   *Bad       No
1oh0            8             22  0.36   Good        -
2fzd           15             47  0.32    Bad        -
3fs6           16             51  0.31    Bad        -
2pdg           15             51  0.29   *Bad        -
2pdn           14             49  0.29  *Good      Yes
3cwk            7             25  0.28   Good      Yes
2pdl           13             47  0.28    Bad       No
2pdy           12             44  0.27    Bad      Yes
2iki           12             47  0.26   *Bad        -
2g78            7             27  0.26   Good      Yes
3f8y           13             51  0.25    Bad      Yes
1pwm           11             44  0.25    Bad        -
3m4h           11             46  0.24    Bad       No
3neo            3             14  0.21   Good        -
3nex            3             14  0.21   Good      Yes
3rdo            4             19  0.21   Good      Yes
3kgu            2             10   0.2   Good        -
3ry2            4             22  0.18   Good        -
3kgt            2             12  0.17   Good      Yes


Risultati con threshold rmsd > 1
     bad_residues local_residues ratio manual affinity
2ygf           12             23  0.52    Bad       No
1syh           10             20   0.5    Bad        -
1nje            7             16  0.44    Bad        -
1njc            6             15   0.4    Bad       No
2yge            8             21  0.38   *Bad       No
1a4h            8             21  0.38    Bad        -
1syi            8             21  0.38   Good      Yes
1nja            5             14  0.36    Bad       No
1ydk            8             22  0.36  *Good      Yes
1oh0            7             22  0.32   Good        -
2fr3            9             29  0.31   *Bad        -
1k3l            6             21  0.29    Bad        -
3fs6           14             51  0.27    Bad        -
2g78            7             27  0.26   Good      Yes
2pdg           13             51  0.25   *Bad        -
3f8y           12             51  0.24    Bad      Yes
3cwk            6             25  0.24   Good      Yes
2pdl           11             47  0.23    Bad       No
2pdy           10             44  0.23    Bad      Yes
2fzd           11             47  0.23    Bad        -
2iki           10             47  0.21   *Bad        -
3neo            3             14  0.21   Good        -
3kgu            2             10   0.2   Good        -
2pdn            9             49  0.18  *Good      Yes
1pwm            8             44  0.18    Bad        -
3kgt            2             12  0.17   Good      Yes
3m4h            8             46  0.17    Bad       No
